team;position;game
Boca Jrs;1;1
Ferro;2;1
Gimnasia;3;1
Instituto;4;1
Obera;5;1
Olimpico;6;1
Quimsa;7;1
Regatas;8;1
San Lorenzo;9;1
San Martin;10;1
Argentino;11;1
Atenas;12;1
Comunicaciones;13;1
Hispano;14;1
La Union;15;1
Obras;16;1
Pe–arol;17;1
Platense;18;1
Riachuelo;19;1
Union;20;1
Boca Jrs;1;2
Gimnasia;2;2
Instituto;3;2
Quimsa;4;2
San Lorenzo;5;2
San Martin;6;2
Comunicaciones;7;2
Ferro;8;2
La Union;9;2
Obera;10;2
Obras;11;2
Olimpico;12;2
Regatas;13;2
Riachuelo;14;2
Argentino;15;2
Atenas;16;2
Hispano;17;2
Pe–arol;18;2
Platense;19;2
Union;20;2
Boca Jrs;1;3
Gimnasia;2;3
Instituto;3;3
Quimsa;4;3
San Martin;5;3
Ferro;6;3
Riachuelo;7;3
San Lorenzo;8;3
Comunicaciones;9;3
Hispano;10;3
La Union;11;3
Obera;12;3
Obras;13;3
Olimpico;14;3
Pe–arol;15;3
Regatas;16;3
Union;17;3
Argentino;18;3
Atenas;19;3
Platense;20;3
Instituto;1;4
Quimsa;2;4
San Martin;3;4
Boca Jrs;4;4
Gimnasia;5;4
Riachuelo;6;4
San Lorenzo;7;4
Ferro;8;4
Olimpico;9;4
Regatas;10;4
Argentino;11;4
Atenas;12;4
Comunicaciones;13;4
Hispano;14;4
La Union;15;4
Obera;16;4
Obras;17;4
Pe–arol;18;4
Union;19;4
Platense;20;4
Quimsa;1;5
San Martin;2;5
Boca Jrs;3;5
Gimnasia;4;5
Instituto;5;5
San Lorenzo;6;5
Ferro;7;5
Riachuelo;8;5
La Union;9;5
Obras;10;5
Olimpico;11;5
Pe–arol;12;5
Regatas;13;5
Union;14;5
Argentino;15;5
Atenas;16;5
Comunicaciones;17;5
Hispano;18;5
Obera;19;5
Platense;20;5
Quimsa;1;6
Boca Jrs;2;6
San Martin;3;6
Ferro;4;6
Gimnasia;5;6
Instituto;6;6
Riachuelo;7;6
San Lorenzo;8;6
Olimpico;9;6
Pe–arol;10;6
Argentino;11;6
Hispano;12;6
La Union;13;6
Obera;14;6
Obras;15;6
Regatas;16;6
Union;17;6
Atenas;18;6
Comunicaciones;19;6
Platense;20;6
Quimsa;1;7
Boca Jrs;2;7
Ferro;3;7
Gimnasia;4;7
Instituto;5;7
San Martin;6;7
San Lorenzo;7;7
Riachuelo;8;7
Olimpico;9;7
Obera;10;7
Obras;11;7
Argentino;12;7
Hispano;13;7
Pe–arol;14;7
Regatas;15;7
Comunicaciones;16;7
La Union;17;7
Union;18;7
Atenas;19;7
Platense;20;7
Quimsa;1;8
Boca Jrs;2;8
Ferro;3;8
Gimnasia;4;8
Instituto;5;8
San Martin;6;8
San Lorenzo;7;8
Riachuelo;8;8
Olimpico;9;8
Obera;10;8
Obras;11;8
Argentino;12;8
Hispano;13;8
Pe–arol;14;8
Regatas;15;8
Comunicaciones;16;8
La Union;17;8
Union;18;8
Atenas;19;8
Platense;20;8
Quimsa;1;9
Ferro;2;9
Gimnasia;3;9
San Martin;4;9
Boca Jrs;5;9
Instituto;6;9
San Lorenzo;7;9
Obras;8;9
Riachuelo;9;9
Obera;10;9
Olimpico;11;9
Pe–arol;12;9
